# event_ticker=KXATPMATCH-26APR05RUBBOR
# final_score=6-4 1-6 6-1
# score_resolution=4-6 6-1 1-6
# match_winner=Andrey Rublev
# fav_player=Nuno Borges
# dog_player=Andrey Rublev
# kalshi_date=2026-04-05
timestamp,Nuno Borges,Andrey Rublev
2026-04-06T09:09:00Z,20.00,81.00
2026-04-06T09:10:00Z,20.00,81.00
2026-04-06T09:11:00Z,20.00,80.53
2026-04-06T09:12:00Z,20.00,80.00
2026-04-06T09:13:00Z,20.96,79.08
2026-04-06T09:14:00Z,22.04,79.02
2026-04-06T09:15:00Z,23.92,78.39
2026-04-06T09:16:00Z,23.96,77.56
2026-04-06T09:17:00Z,23.20,78.99
2026-04-06T09:18:00Z,24.98,78.02
2026-04-06T09:19:00Z,25.46,77.05
2026-04-06T09:20:00Z,22.26,77.05
2026-04-06T09:21:00Z,19.81,81.03
2026-04-06T09:22:00Z,14.55,86.16
2026-04-06T09:23:00Z,12.90,87.75
2026-04-06T09:24:00Z,12.63,87.15
2026-04-06T09:25:00Z,14.00,86.00
2026-04-06T09:26:00Z,16.97,85.55
2026-04-06T09:27:00Z,16.95,86.00
2026-04-06T09:28:00Z,10.64,87.96
2026-04-06T09:29:00Z,11.94,86.63
2026-04-06T09:30:00Z,14.00,87.00
2026-04-06T09:31:00Z,14.00,87.00
2026-04-06T09:32:00Z,14.18,87.00
2026-04-06T09:33:00Z,12.00,88.96
2026-04-06T09:34:00Z,12.00,89.20
2026-04-06T09:35:00Z,14.00,89.20
2026-04-06T09:36:00Z,14.00,87.00
2026-04-06T09:37:00Z,14.00,87.00
2026-04-06T09:38:00Z,13.99,88.00
2026-04-06T09:39:00Z,11.23,88.00
2026-04-06T09:40:00Z,12.99,89.90
2026-04-06T09:41:00Z,11.46,90.00
2026-04-06T09:42:00Z,11.60,89.40
2026-04-06T09:43:00Z,13.24,88.44
2026-04-06T09:44:00Z,13.43,86.99
2026-04-06T09:45:00Z,16.05,86.32
2026-04-06T09:46:00Z,15.13,86.24
2026-04-06T09:47:00Z,16.00,85.06
2026-04-06T09:48:00Z,16.65,86.99
2026-04-06T09:49:00Z,16.86,85.78
2026-04-06T09:50:00Z,16.13,85.42
2026-04-06T09:51:00Z,14.53,87.13
2026-04-06T09:52:00Z,20.42,76.74
2026-04-06T09:53:00Z,22.81,78.69
2026-04-06T09:54:00Z,17.04,83.23
2026-04-06T09:55:00Z,16.44,85.00
2026-04-06T09:56:00Z,16.24,83.50
2026-04-06T09:57:00Z,11.56,88.12
2026-04-06T09:58:00Z,12.22,88.82
2026-04-06T09:59:00Z,12.59,88.62
2026-04-06T10:00:00Z,12.05,87.81
2026-04-06T10:01:00Z,12.25,88.39
