# event_ticker=KXATPMATCH-26FEB16BORWON
# final_score=7-6(5) 4-6 6-3
# score_resolution=7-6 4-6 6-3
# match_winner=Coleman Wong
# fav_player=Coleman Wong
# dog_player=Nuno Borges
# kalshi_date=2026-02-16
timestamp,Coleman Wong,Nuno Borges
2026-02-16T18:29:00Z,20.51,79.91
2026-02-16T18:30:00Z,22.06,78.07
2026-02-16T18:31:00Z,19.44,79.61
2026-02-16T18:32:00Z,19.16,80.75
2026-02-16T18:33:00Z,19.80,80.88
2026-02-16T18:34:00Z,20.00,81.00
2026-02-16T18:35:00Z,18.95,83.00
2026-02-16T18:36:00Z,17.26,83.06
2026-02-16T18:37:00Z,18.28,82.26
2026-02-16T18:38:00Z,21.04,80.23
2026-02-16T18:39:00Z,26.03,74.41
2026-02-16T18:40:00Z,40.17,63.57
2026-02-16T18:41:00Z,40.28,60.77
2026-02-16T18:42:00Z,41.52,60.60
2026-02-16T18:43:00Z,46.68,56.37
2026-02-16T18:44:00Z,47.27,53.90
2026-02-16T18:45:00Z,47.76,53.31
2026-02-16T18:46:00Z,42.94,58.58
2026-02-16T18:47:00Z,40.91,59.97
2026-02-16T18:48:00Z,40.91,59.85
2026-02-16T18:49:00Z,41.40,58.60
2026-02-16T18:50:00Z,33.44,70.11
2026-02-16T18:51:00Z,36.18,70.31
2026-02-16T18:52:00Z,43.89,57.59
2026-02-16T18:53:00Z,41.23,60.66
2026-02-16T18:54:00Z,47.27,55.41
2026-02-16T18:55:00Z,48.50,50.04
2026-02-16T18:56:00Z,55.08,42.82
2026-02-16T18:57:00Z,46.17,50.48
2026-02-16T18:58:00Z,50.86,47.15
2026-02-16T18:59:00Z,60.53,42.66
2026-02-16T19:00:00Z,67.17,32.88
2026-02-16T19:01:00Z,67.96,34.01
2026-02-16T19:02:00Z,68.87,32.60
2026-02-16T19:03:00Z,71.43,29.05
2026-02-16T19:04:00Z,69.47,31.37
2026-02-16T19:05:00Z,67.73,31.28
2026-02-16T19:06:00Z,67.81,33.26
2026-02-16T19:07:00Z,71.56,29.32
2026-02-16T19:08:00Z,73.11,25.81
2026-02-16T19:09:00Z,77.60,22.35
2026-02-16T19:10:00Z,73.03,28.97
2026-02-16T19:11:00Z,71.18,29.77
2026-02-16T19:12:00Z,62.52,37.21
2026-02-16T19:13:00Z,56.47,44.93
2026-02-16T19:14:00Z,61.51,42.72
2026-02-16T19:15:00Z,70.96,30.74
2026-02-16T19:16:00Z,71.16,29.11
2026-02-16T19:17:00Z,70.53,30.13
2026-02-16T19:18:00Z,69.04,29.03
2026-02-16T19:19:00Z,68.51,31.72
2026-02-16T19:20:00Z,69.35,31.59
2026-02-16T19:21:00Z,74.85,26.30
2026-02-16T19:22:00Z,74.60,24.57
2026-02-16T19:23:00Z,74.13,25.05
2026-02-16T19:24:00Z,70.40,29.56
2026-02-16T19:25:00Z,68.64,32.17
2026-02-16T19:26:00Z,73.03,28.01
2026-02-16T19:27:00Z,73.88,26.15
2026-02-16T19:28:00Z,73.97,26.39
2026-02-16T19:29:00Z,73.50,26.16
2026-02-16T19:30:00Z,74.92,26.82
2026-02-16T19:31:00Z,72.51,28.65
2026-02-16T19:32:00Z,68.36,32.97
2026-02-16T19:33:00Z,65.54,35.50
2026-02-16T19:34:00Z,63.25,41.12
2026-02-16T19:35:00Z,53.40,46.63
2026-02-16T19:36:00Z,46.70,54.82
2026-02-16T19:37:00Z,42.70,57.45
2026-02-16T19:38:00Z,38.57,59.35
2026-02-16T19:39:00Z,36.54,61.53
2026-02-16T19:40:00Z,39.59,60.39
2026-02-16T19:41:00Z,40.78,60.49
2026-02-16T19:42:00Z,39.78,58.63
2026-02-16T19:43:00Z,37.97,58.91
2026-02-16T19:44:00Z,47.46,52.46
2026-02-16T19:45:00Z,47.97,52.86
2026-02-16T19:46:00Z,51.63,49.49
2026-02-16T19:47:00Z,50.15,50.68
2026-02-16T19:48:00Z,54.92,41.82
2026-02-16T19:49:00Z,48.14,51.38
2026-02-16T19:50:00Z,47.83,53.56
2026-02-16T19:51:00Z,52.89,47.02
2026-02-16T19:52:00Z,53.71,47.15
2026-02-16T19:53:00Z,54.64,47.17
2026-02-16T19:54:00Z,54.56,44.86
2026-02-16T19:55:00Z,55.28,46.78
2026-02-16T19:56:00Z,51.46,49.14
2026-02-16T19:57:00Z,65.23,34.47
2026-02-16T19:58:00Z,83.87,14.61
2026-02-16T19:59:00Z,86.31,12.35
2026-02-16T20:00:00Z,86.65,12.95
2026-02-16T20:01:00Z,90.24,10.36
2026-02-16T20:02:00Z,90.05,11.28
2026-02-16T20:03:00Z,89.08,11.52
2026-02-16T20:04:00Z,89.36,12.28
2026-02-16T20:05:00Z,89.64,10.34
2026-02-16T20:06:00Z,93.75,6.18
2026-02-16T20:07:00Z,95.19,5.29
2026-02-16T20:08:00Z,94.59,5.85
2026-02-16T20:09:00Z,94.90,4.60
2026-02-16T20:10:00Z,96.59,3.49
2026-02-16T20:11:00Z,95.25,5.47
2026-02-16T20:12:00Z,96.48,3.68
2026-02-16T20:13:00Z,95.25,5.48
2026-02-16T20:14:00Z,96.24,3.14
2026-02-16T20:15:00Z,94.92,5.03
2026-02-16T20:16:00Z,94.32,5.78
2026-02-16T20:17:00Z,95.87,4.21
2026-02-16T20:18:00Z,98.41,2.04
2026-02-16T20:19:00Z,99.00,1.00
2026-02-16T20:20:00Z,99.00,1.00
2026-02-16T20:21:00Z,99.00,1.00
2026-02-16T20:22:00Z,99.00,1.00
