# event_ticker=KXATPMATCH-25OCT28SHECOB
# final_score=7-6(4) 6-3
# score_resolution=7-6 6-3
# match_winner=Ben Shelton
# fav_player=Ben Shelton
# dog_player=Flavio Cobolli
# kalshi_date=2025-10-28
timestamp,Ben Shelton,Flavio Cobolli
2025-10-28T18:10:00Z,49.46,50.63
2025-10-28T18:11:00Z,51.39,49.76
2025-10-28T18:12:00Z,50.00,50.34
2025-10-28T18:13:00Z,49.71,51.29
2025-10-28T18:14:00Z,50.44,52.00
2025-10-28T18:15:00Z,55.44,47.03
2025-10-28T18:16:00Z,51.56,48.91
2025-10-28T18:17:00Z,51.37,48.13
2025-10-28T18:18:00Z,49.77,51.57
2025-10-28T18:19:00Z,49.90,51.99
2025-10-28T18:20:00Z,49.47,52.00
2025-10-28T18:21:00Z,50.81,49.57
2025-10-28T18:22:00Z,51.99,49.84
2025-10-28T18:23:00Z,49.86,47.43
2025-10-28T18:24:00Z,52.59,43.86
2025-10-28T18:25:00Z,56.02,44.13
2025-10-28T18:26:00Z,62.15,39.54
2025-10-28T18:27:00Z,67.46,33.53
2025-10-28T18:28:00Z,70.08,31.34
2025-10-28T18:29:00Z,71.78,26.40
2025-10-28T18:30:00Z,76.70,24.47
2025-10-28T18:31:00Z,77.86,23.88
2025-10-28T18:32:00Z,76.94,21.64
2025-10-28T18:33:00Z,77.70,24.00
2025-10-28T18:34:00Z,77.79,23.28
2025-10-28T18:35:00Z,78.46,21.90
2025-10-28T18:36:00Z,80.51,21.17
2025-10-28T18:37:00Z,79.74,22.15
2025-10-28T18:38:00Z,77.05,22.70
2025-10-28T18:39:00Z,78.32,21.27
2025-10-28T18:40:00Z,81.12,20.15
2025-10-28T18:41:00Z,78.57,21.00
2025-10-28T18:42:00Z,77.01,23.41
2025-10-28T18:43:00Z,80.58,21.55
2025-10-28T18:44:00Z,79.71,22.00
2025-10-28T18:45:00Z,80.41,22.13
2025-10-28T18:46:00Z,76.56,23.12
2025-10-28T18:47:00Z,75.43,25.00
2025-10-28T18:48:00Z,76.50,24.01
2025-10-28T18:49:00Z,77.86,23.05
2025-10-28T18:50:00Z,79.82,20.56
2025-10-28T18:51:00Z,80.12,21.13
2025-10-28T18:52:00Z,79.73,22.45
2025-10-28T18:53:00Z,82.16,18.02
2025-10-28T18:54:00Z,79.56,20.04
2025-10-28T18:55:00Z,87.92,17.70
2025-10-28T18:56:00Z,84.03,16.63
2025-10-28T18:57:00Z,92.09,5.11
2025-10-28T18:58:00Z,94.95,6.07
2025-10-28T18:59:00Z,94.87,6.78
2025-10-28T19:00:00Z,98.17,1.65
2025-10-28T19:01:00Z,98.44,1.88
2025-10-28T19:02:00Z,98.04,1.01
2025-10-28T19:03:00Z,98.56,1.76
2025-10-28T19:04:00Z,98.09,2.02
2025-10-28T19:05:00Z,98.98,1.36
2025-10-28T19:06:00Z,99.00,1.36
2025-10-28T19:07:00Z,99.00,1.36
2025-10-28T19:08:00Z,99.00,1.36
2025-10-28T19:09:00Z,99.00,1.36
2025-10-28T19:10:00Z,99.00,1.36
2025-10-28T19:11:00Z,99.00,1.36
