# event_ticker=KXATPMATCH-25JUL28CORGIG
# final_score=4-6 6-2 7-6(2)
# score_resolution=6-4 2-6 6-7
# match_winner=Matteo Gigante
# fav_player=Borna Coric
# dog_player=Matteo Gigante
# kalshi_date=2025-07-28
timestamp,Borna Coric,Matteo Gigante
2025-07-28T23:43:00Z,32.20,64.92
2025-07-28T23:44:00Z,42.63,61.96
2025-07-28T23:45:00Z,48.28,55.86
2025-07-28T23:46:00Z,57.06,49.19
2025-07-28T23:47:00Z,44.82,30.00
2025-07-28T23:48:00Z,53.12,52.73
2025-07-28T23:49:00Z,36.07,68.84
2025-07-28T23:50:00Z,16.01,81.18
2025-07-28T23:51:00Z,12.01,94.08
2025-07-28T23:52:00Z,1.48,98.89
2025-07-28T23:53:00Z,1.48,99.00
2025-07-28T23:54:00Z,1.48,99.00
2025-07-28T23:55:00Z,1.48,99.00
2025-07-28T23:56:00Z,1.48,99.00
