# event_ticker=KXATPMATCH-26MAR08DAVMEN
# final_score=6-2 4-6 6-2
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Jakub Mensik
# kalshi_date=2026-03-08
timestamp,Alejandro Davidovich Fokina,Jakub Mensik
2026-03-08T21:20:00Z,47.08,52.83
2026-03-08T21:21:00Z,51.62,48.25
2026-03-08T21:22:00Z,47.93,50.02
2026-03-08T21:23:00Z,48.56,51.30
2026-03-08T21:24:00Z,59.04,42.24
2026-03-08T21:25:00Z,60.96,41.33
2026-03-08T21:26:00Z,57.80,44.13
2026-03-08T21:27:00Z,54.51,48.38
2026-03-08T21:28:00Z,58.85,40.72
2026-03-08T21:29:00Z,60.00,41.74
2026-03-08T21:30:00Z,63.00,38.88
2026-03-08T21:31:00Z,62.00,40.73
2026-03-08T21:32:00Z,59.94,42.00
2026-03-08T21:33:00Z,60.00,42.00
2026-03-08T21:34:00Z,60.00,45.86
2026-03-08T21:35:00Z,56.77,46.68
2026-03-08T21:36:00Z,62.48,37.31
2026-03-08T21:37:00Z,65.08,35.87
2026-03-08T21:38:00Z,64.14,37.09
2026-03-08T21:39:00Z,67.82,34.44
2026-03-08T21:40:00Z,74.58,26.87
2026-03-08T21:41:00Z,78.54,26.33
2026-03-08T21:42:00Z,80.78,24.01
2026-03-08T21:43:00Z,84.18,18.61
2026-03-08T21:44:00Z,88.85,10.33
2026-03-08T21:45:00Z,88.47,13.45
2026-03-08T21:46:00Z,80.36,18.90
2026-03-08T21:47:00Z,81.98,17.65
2026-03-08T21:48:00Z,83.85,17.52
2026-03-08T21:49:00Z,80.11,21.63
2026-03-08T21:50:00Z,78.59,24.98
2026-03-08T21:51:00Z,78.92,22.02
2026-03-08T21:52:00Z,79.87,24.09
2026-03-08T21:53:00Z,75.70,26.00
2026-03-08T21:54:00Z,78.12,21.85
2026-03-08T21:55:00Z,81.02,21.28
2026-03-08T21:56:00Z,77.07,22.20
2026-03-08T21:57:00Z,78.00,26.45
2026-03-08T21:58:00Z,74.57,27.20
2026-03-08T21:59:00Z,73.93,28.24
2026-03-08T22:00:00Z,74.43,25.81
2026-03-08T22:01:00Z,76.28,24.90
2026-03-08T22:02:00Z,76.67,24.98
2026-03-08T22:03:00Z,77.27,26.02
2026-03-08T22:04:00Z,73.11,27.82
2026-03-08T22:05:00Z,73.11,28.00
2026-03-08T22:06:00Z,73.11,28.40
2026-03-08T22:07:00Z,74.58,25.98
2026-03-08T22:08:00Z,76.91,24.46
2026-03-08T22:09:00Z,69.98,30.98
2026-03-08T22:10:00Z,71.00,29.76
2026-03-08T22:11:00Z,70.56,29.97
2026-03-08T22:12:00Z,74.91,28.03
2026-03-08T22:13:00Z,74.24,24.00
2026-03-08T22:14:00Z,73.00,28.16
2026-03-08T22:15:00Z,74.44,26.37
2026-03-08T22:16:00Z,76.29,27.20
2026-03-08T22:17:00Z,85.05,20.84
2026-03-08T22:18:00Z,92.46,10.20
2026-03-08T22:19:00Z,92.87,7.90
2026-03-08T22:20:00Z,91.92,11.28
2026-03-08T22:21:00Z,91.34,15.39
2026-03-08T22:22:00Z,92.58,8.89
2026-03-08T22:23:00Z,89.94,12.27
2026-03-08T22:24:00Z,86.93,12.92
2026-03-08T22:25:00Z,79.29,26.06
2026-03-08T22:26:00Z,71.68,28.10
2026-03-08T22:27:00Z,69.75,32.14
2026-03-08T22:28:00Z,66.76,33.18
2026-03-08T22:29:00Z,67.42,34.31
2026-03-08T22:30:00Z,68.10,33.77
2026-03-08T22:31:00Z,63.30,42.33
2026-03-08T22:32:00Z,49.20,52.27
2026-03-08T22:33:00Z,45.32,58.56
2026-03-08T22:34:00Z,42.90,57.48
2026-03-08T22:35:00Z,44.19,58.38
2026-03-08T22:36:00Z,45.38,56.02
2026-03-08T22:37:00Z,45.99,54.99
2026-03-08T22:38:00Z,46.00,54.98
2026-03-08T22:39:00Z,46.12,54.55
2026-03-08T22:40:00Z,46.85,54.03
2026-03-08T22:41:00Z,48.80,52.81
2026-03-08T22:42:00Z,52.60,43.94
2026-03-08T22:43:00Z,67.30,34.93
2026-03-08T22:44:00Z,68.89,29.64
2026-03-08T22:45:00Z,64.18,38.20
2026-03-08T22:46:00Z,54.47,46.36
2026-03-08T22:47:00Z,58.95,45.64
2026-03-08T22:48:00Z,71.04,31.40
2026-03-08T22:49:00Z,78.39,21.84
2026-03-08T22:50:00Z,79.12,24.75
2026-03-08T22:51:00Z,80.01,20.92
2026-03-08T22:52:00Z,83.55,17.91
2026-03-08T22:53:00Z,87.56,11.51
2026-03-08T22:54:00Z,81.68,16.10
2026-03-08T22:55:00Z,75.16,25.57
2026-03-08T22:56:00Z,76.25,25.27
2026-03-08T22:57:00Z,77.13,23.14
2026-03-08T22:58:00Z,78.01,23.99
2026-03-08T22:59:00Z,83.27,17.12
2026-03-08T23:00:00Z,82.05,20.45
2026-03-08T23:01:00Z,80.43,20.45
2026-03-08T23:02:00Z,82.24,17.29
2026-03-08T23:03:00Z,82.99,18.45
2026-03-08T23:04:00Z,87.47,14.82
2026-03-08T23:05:00Z,95.83,3.98
2026-03-08T23:06:00Z,96.79,3.56
2026-03-08T23:07:00Z,96.76,3.14
2026-03-08T23:08:00Z,91.93,8.74
2026-03-08T23:09:00Z,93.20,6.83
2026-03-08T23:10:00Z,98.65,2.79
2026-03-08T23:11:00Z,98.78,1.81
2026-03-08T23:12:00Z,98.43,1.03
2026-03-08T23:13:00Z,98.27,2.00
2026-03-08T23:14:00Z,98.02,1.97
2026-03-08T23:15:00Z,98.98,1.30
2026-03-08T23:16:00Z,99.00,1.00
2026-03-08T23:17:00Z,99.00,1.00
2026-03-08T23:18:00Z,99.00,1.00
2026-03-08T23:19:00Z,99.00,1.00
2026-03-08T23:20:00Z,99.00,1.00
2026-03-08T23:22:00Z,99.00,1.00
