# event_ticker=KXATPMATCH-26MAY11TIAPEL
# final_score=7-6(8) 6-1
# score_resolution=7-6 6-1
# match_winner=Andrea Pellegrino
# fav_player=Andrea Pellegrino
# dog_player=Frances Tiafoe
# kalshi_date=2026-05-11
timestamp,Frances Tiafoe,Andrea Pellegrino
2026-05-11T10:12:00Z,69.40,33.00
2026-05-11T10:13:00Z,68.05,33.00
2026-05-11T10:14:00Z,69.51,33.00
2026-05-11T10:15:00Z,69.00,33.00
2026-05-11T10:16:00Z,69.00,33.00
2026-05-11T10:17:00Z,70.00,33.00
2026-05-11T10:20:00Z,70.00,33.00
2026-05-11T10:21:00Z,70.00,33.00
2026-05-11T10:23:00Z,70.00,33.00
2026-05-11T10:24:00Z,70.00,33.00
2026-05-11T10:25:00Z,70.00,33.00
2026-05-11T10:26:00Z,68.50,33.00
2026-05-11T10:27:00Z,69.00,33.00
2026-05-11T10:29:00Z,69.00,33.00
2026-05-11T10:30:00Z,69.00,33.00
2026-05-11T10:32:00Z,69.00,33.00
2026-05-11T10:33:00Z,69.00,33.00
2026-05-11T10:34:00Z,69.00,33.00
2026-05-11T10:36:00Z,69.00,33.00
2026-05-11T10:37:00Z,69.00,33.00
2026-05-11T10:38:00Z,69.00,33.00
2026-05-11T10:39:00Z,69.00,33.00
2026-05-11T10:40:00Z,68.34,33.13
2026-05-11T10:41:00Z,69.00,33.47
2026-05-11T10:42:00Z,69.00,33.47
2026-05-11T10:43:00Z,68.79,33.97
2026-05-11T10:44:00Z,68.79,33.98
2026-05-11T10:45:00Z,68.79,33.90
2026-05-11T10:46:00Z,69.00,34.00
2026-05-11T10:47:00Z,69.00,34.00
2026-05-11T10:48:00Z,69.00,34.00
2026-05-11T10:49:00Z,68.99,33.00
2026-05-11T10:50:00Z,69.00,33.93
2026-05-11T10:51:00Z,68.48,33.00
2026-05-11T10:52:00Z,68.48,33.00
2026-05-11T10:53:00Z,69.00,32.00
2026-05-11T10:54:00Z,68.51,32.00
2026-05-11T10:55:00Z,68.40,33.82
2026-05-11T10:56:00Z,69.00,33.63
2026-05-11T10:57:00Z,69.00,33.84
2026-05-11T10:58:00Z,69.00,33.60
2026-05-11T10:59:00Z,69.00,33.95
2026-05-11T11:00:00Z,69.00,33.00
2026-05-11T11:01:00Z,69.00,33.82
2026-05-11T11:02:00Z,69.00,33.82
2026-05-11T11:03:00Z,69.00,33.00
2026-05-11T11:05:00Z,68.00,32.04
2026-05-11T11:06:00Z,68.00,33.00
2026-05-11T11:07:00Z,68.00,33.91
2026-05-11T11:08:00Z,68.00,33.00
2026-05-11T11:09:00Z,68.00,33.97
2026-05-11T11:10:00Z,68.00,34.00
2026-05-11T11:11:00Z,68.00,34.00
2026-05-11T11:13:00Z,67.00,34.00
2026-05-11T11:14:00Z,67.00,34.00
2026-05-11T11:15:00Z,67.54,34.00
2026-05-11T11:16:00Z,68.00,33.01
2026-05-11T11:17:00Z,67.00,34.00
2026-05-11T11:18:00Z,67.10,34.00
2026-05-11T11:19:00Z,68.00,34.00
2026-05-11T11:20:00Z,68.00,34.00
2026-05-11T11:21:00Z,68.00,34.00
2026-05-11T11:22:00Z,68.00,34.00
2026-05-11T11:23:00Z,68.00,34.00
2026-05-11T11:24:00Z,67.15,33.16
2026-05-11T11:25:00Z,64.42,37.98
2026-05-11T11:26:00Z,56.25,38.65
2026-05-11T11:27:00Z,55.95,45.30
2026-05-11T11:28:00Z,53.99,47.10
2026-05-11T11:29:00Z,54.57,44.82
2026-05-11T11:30:00Z,54.28,46.40
2026-05-11T11:31:00Z,52.58,49.04
2026-05-11T11:32:00Z,47.26,53.81
2026-05-11T11:33:00Z,43.12,59.25
2026-05-11T11:34:00Z,41.87,58.37
2026-05-11T11:35:00Z,39.90,61.76
2026-05-11T11:36:00Z,39.69,62.04
2026-05-11T11:37:00Z,38.00,63.48
2026-05-11T11:38:00Z,36.35,65.30
2026-05-11T11:39:00Z,32.46,66.02
2026-05-11T11:40:00Z,32.96,68.67
2026-05-11T11:41:00Z,33.92,66.86
2026-05-11T11:42:00Z,36.00,64.03
2026-05-11T11:43:00Z,36.00,64.96
2026-05-11T11:44:00Z,35.76,66.46
2026-05-11T11:45:00Z,36.10,65.96
2026-05-11T11:46:00Z,40.38,64.58
2026-05-11T11:47:00Z,41.91,58.75
2026-05-11T11:48:00Z,47.56,53.28
2026-05-11T11:49:00Z,48.82,51.68
2026-05-11T11:50:00Z,50.99,50.88
2026-05-11T11:51:00Z,50.34,50.57
2026-05-11T11:52:00Z,49.60,52.78
2026-05-11T11:53:00Z,47.06,54.81
2026-05-11T11:54:00Z,43.85,57.69
2026-05-11T11:55:00Z,42.69,57.82
2026-05-11T11:56:00Z,39.27,61.33
2026-05-11T11:57:00Z,40.80,60.44
2026-05-11T11:58:00Z,38.87,63.56
2026-05-11T11:59:00Z,39.90,61.91
2026-05-11T12:00:00Z,37.40,64.68
2026-05-11T12:01:00Z,39.66,60.92
2026-05-11T12:02:00Z,42.69,58.16
2026-05-11T12:03:00Z,42.67,57.06
2026-05-11T12:04:00Z,42.25,59.10
2026-05-11T12:05:00Z,39.80,58.52
2026-05-11T12:06:00Z,49.57,50.81
2026-05-11T12:07:00Z,55.13,45.84
2026-05-11T12:08:00Z,66.38,35.18
2026-05-11T12:09:00Z,67.75,32.32
2026-05-11T12:10:00Z,64.89,35.55
2026-05-11T12:11:00Z,66.18,34.18
2026-05-11T12:12:00Z,68.92,30.50
