# event_ticker=KXATPMATCH-26MAY08COBATM
# final_score=7-6(1) 6-3
# score_resolution=6-7 3-6
# match_winner=Flavio Cobolli
# fav_player=Terence Atmane
# dog_player=Flavio Cobolli
# kalshi_date=2026-05-08
timestamp,Flavio Cobolli,Terence Atmane
2026-05-09T15:15:00Z,73.08,27.04
2026-05-09T15:16:00Z,71.89,29.58
2026-05-09T15:17:00Z,73.81,28.01
2026-05-09T15:18:00Z,69.62,31.20
2026-05-09T15:19:00Z,69.00,32.00
2026-05-09T15:20:00Z,68.39,33.14
2026-05-09T15:21:00Z,66.44,33.77
2026-05-09T15:22:00Z,70.68,30.57
2026-05-09T15:23:00Z,67.42,33.29
2026-05-09T15:24:00Z,67.70,33.45
2026-05-09T15:25:00Z,72.41,29.25
2026-05-09T15:26:00Z,71.85,29.98
2026-05-09T15:27:00Z,70.08,31.76
2026-05-09T15:28:00Z,69.67,29.78
2026-05-09T15:29:00Z,71.50,30.97
2026-05-09T15:30:00Z,71.44,30.50
2026-05-09T15:31:00Z,71.76,29.04
2026-05-09T15:32:00Z,69.77,33.93
2026-05-09T15:33:00Z,66.98,33.73
2026-05-09T15:34:00Z,67.78,33.19
2026-05-09T15:35:00Z,69.02,32.33
2026-05-09T15:36:00Z,69.28,31.09
2026-05-09T15:37:00Z,69.58,30.26
2026-05-09T15:38:00Z,71.65,30.02
2026-05-09T15:39:00Z,72.43,31.36
2026-05-09T15:40:00Z,68.00,33.58
2026-05-09T15:41:00Z,67.74,33.67
2026-05-09T15:42:00Z,67.26,34.30
2026-05-09T15:43:00Z,66.35,32.45
2026-05-09T15:44:00Z,70.07,31.00
2026-05-09T15:45:00Z,60.16,39.49
2026-05-09T15:46:00Z,60.51,41.35
2026-05-09T15:47:00Z,66.45,35.46
2026-05-09T15:48:00Z,65.58,32.75
2026-05-09T15:49:00Z,63.23,36.97
2026-05-09T15:50:00Z,63.99,36.88
2026-05-09T15:51:00Z,63.55,35.54
2026-05-09T15:52:00Z,66.11,32.92
2026-05-09T15:53:00Z,68.00,32.01
2026-05-09T15:54:00Z,71.35,29.78
2026-05-09T15:55:00Z,76.43,24.85
2026-05-09T15:56:00Z,76.57,20.91
2026-05-09T15:57:00Z,80.66,18.03
2026-05-09T15:58:00Z,85.06,14.63
2026-05-09T15:59:00Z,87.85,12.81
2026-05-09T16:00:00Z,88.02,11.76
2026-05-09T16:01:00Z,88.09,11.88
2026-05-09T16:02:00Z,88.44,11.16
2026-05-09T16:03:00Z,88.98,11.98
2026-05-09T16:04:00Z,88.34,12.35
2026-05-09T16:05:00Z,86.50,13.32
2026-05-09T16:06:00Z,85.07,14.33
2026-05-09T16:07:00Z,87.67,13.45
2026-05-09T16:08:00Z,90.70,11.62
2026-05-09T16:09:00Z,91.38,10.62
