# event_ticker=KXATPMATCH-26MAY08BORJOD
# final_score=7-6(4) 6-4
# score_resolution=6-7 4-6
# match_winner=Rafael Jodar
# fav_player=Nuno Borges
# dog_player=Rafael Jodar
# kalshi_date=2026-05-08
timestamp,Nuno Borges,Rafael Jodar
2026-05-08T10:29:00Z,2.03,97.00
2026-05-08T10:30:00Z,4.00,96.99
2026-05-08T10:31:00Z,3.66,97.00
2026-05-08T10:32:00Z,3.75,96.00
2026-05-08T10:33:00Z,3.37,97.00
2026-05-08T10:34:00Z,4.05,97.00
2026-05-08T10:35:00Z,3.01,97.16
2026-05-08T10:36:00Z,3.91,97.07
2026-05-08T10:37:00Z,4.00,96.60
2026-05-08T10:38:00Z,4.35,96.04
2026-05-08T10:39:00Z,4.11,95.98
2026-05-08T10:40:00Z,5.89,94.74
2026-05-08T10:41:00Z,5.73,93.61
2026-05-08T10:42:00Z,4.73,94.82
2026-05-08T10:43:00Z,5.49,94.64
2026-05-08T10:44:00Z,4.27,96.72
2026-05-08T10:45:00Z,2.47,97.35
2026-05-08T10:46:00Z,1.07,98.48
2026-05-08T10:47:00Z,2.05,97.05
2026-05-08T10:48:00Z,2.25,98.00
2026-05-08T10:49:00Z,3.97,95.08
2026-05-08T10:50:00Z,4.66,97.00
2026-05-08T10:51:00Z,4.21,97.00
2026-05-08T10:52:00Z,4.21,96.00
2026-05-08T10:53:00Z,9.52,92.54
2026-05-08T10:54:00Z,6.12,91.93
2026-05-08T10:55:00Z,3.39,97.00
2026-05-08T10:56:00Z,1.00,99.00
2026-05-08T10:57:00Z,1.00,99.00
2026-05-08T10:58:00Z,2.70,98.00
2026-05-08T10:59:00Z,2.84,97.13
2026-05-08T11:00:00Z,3.12,96.22
2026-05-08T11:01:00Z,2.03,98.25
2026-05-08T11:02:00Z,1.00,98.46
2026-05-08T11:03:00Z,2.33,98.99
2026-05-08T11:04:00Z,1.00,99.00
2026-05-08T11:07:00Z,1.00,99.00
2026-05-08T11:08:00Z,1.00,99.00
2026-05-08T11:09:00Z,1.00,99.00
2026-05-08T11:10:00Z,1.00,99.00
2026-05-08T11:13:00Z,1.00,99.00
