# event_ticker=KXATPMATCH-26MAR12ALCNOR
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Carlos Alcaraz
# fav_player=Cameron Norrie
# dog_player=Carlos Alcaraz
# kalshi_date=2026-03-12
timestamp,Cameron Norrie,Carlos Alcaraz
2026-03-13T00:53:00Z,7.00,94.00
2026-03-13T00:54:00Z,7.00,94.00
2026-03-13T00:55:00Z,7.00,94.00
2026-03-13T00:56:00Z,7.00,94.00
2026-03-13T00:57:00Z,7.00,94.00
2026-03-13T00:59:00Z,6.00,94.00
2026-03-13T01:00:00Z,6.00,94.00
2026-03-13T01:01:00Z,6.00,94.00
2026-03-13T01:02:00Z,7.00,94.00
2026-03-13T01:03:00Z,7.00,94.00
2026-03-13T01:05:00Z,7.00,94.00
2026-03-13T01:06:00Z,7.00,94.00
2026-03-13T01:07:00Z,7.00,94.00
2026-03-13T01:08:00Z,7.00,94.00
2026-03-13T01:09:00Z,7.00,94.00
2026-03-13T01:10:00Z,7.00,94.00
2026-03-13T01:11:00Z,7.00,94.00
2026-03-13T01:12:00Z,7.00,94.00
2026-03-13T01:13:00Z,6.94,94.00
2026-03-13T01:14:00Z,7.00,94.00
2026-03-13T01:15:00Z,7.00,94.00
2026-03-13T01:16:00Z,7.00,94.00
2026-03-13T01:17:00Z,7.00,94.00
2026-03-13T01:18:00Z,7.00,94.00
2026-03-13T01:19:00Z,7.00,94.00
2026-03-13T01:21:00Z,7.00,94.00
2026-03-13T01:22:00Z,7.00,94.00
2026-03-13T01:23:00Z,7.00,94.00
2026-03-13T01:24:00Z,7.00,93.00
2026-03-13T01:25:00Z,7.00,93.92
2026-03-13T01:26:00Z,7.00,94.00
2026-03-13T01:27:00Z,7.00,94.00
2026-03-13T01:28:00Z,7.00,94.00
2026-03-13T01:29:00Z,7.00,94.00
2026-03-13T01:30:00Z,7.00,94.00
2026-03-13T01:31:00Z,7.00,94.00
2026-03-13T01:32:00Z,7.00,94.00
2026-03-13T01:33:00Z,7.00,94.00
2026-03-13T01:34:00Z,7.00,94.00
2026-03-13T01:35:00Z,7.00,94.00
2026-03-13T01:38:00Z,7.00,94.00
2026-03-13T01:39:00Z,7.00,94.00
2026-03-13T01:40:00Z,7.00,94.00
2026-03-13T01:41:00Z,6.63,94.00
2026-03-13T01:42:00Z,7.00,94.00
2026-03-13T01:43:00Z,7.00,94.00
2026-03-13T01:44:00Z,7.00,93.15
2026-03-13T01:45:00Z,7.00,93.15
2026-03-13T01:46:00Z,6.98,94.00
2026-03-13T01:47:00Z,7.00,93.00
2026-03-13T01:48:00Z,7.00,94.00
2026-03-13T01:49:00Z,7.00,94.00
2026-03-13T01:50:00Z,7.00,94.00
2026-03-13T01:51:00Z,7.00,94.00
2026-03-13T01:52:00Z,7.00,94.00
2026-03-13T01:53:00Z,7.00,94.00
2026-03-13T01:54:00Z,7.00,94.00
2026-03-13T01:55:00Z,7.00,94.00
2026-03-13T01:56:00Z,7.00,93.04
2026-03-13T01:57:00Z,7.00,93.61
2026-03-13T01:58:00Z,7.00,94.00
2026-03-13T01:59:00Z,7.00,94.00
